Plantation year,Plot,canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2017,16,52,44,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,16,63,33,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,16,50,46,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,16,50,46,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,17,46,50,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,19,45,51,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,23,61,35,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,23,50,46,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,25,54,42,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,25,44,52,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,26,47,49,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,27,47,49,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,27,55,41,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,28,61,35,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,33,61,35,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,33,55,41,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,33,57,39,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,33,43,53,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,33,45,51,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,34,40,56,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,35,40,56,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,35,49,47,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2019,2,58,38,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2019,3,48,48,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2019,4,55,41,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2019,4,60,36,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2019,5,53,43,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2019,6,73,23,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2019,7,57,39,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,1,47,49,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,1,43,53,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,2,66,30,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,4,55,41,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,4,43,53,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,4,58,38,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,5,50,46,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,6,44,52,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,6,49,47,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,7,50,46,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,8,52,44,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,8,49,47,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,9,46,50,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,13,52,44,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,14,57,39,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,15,59,37,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,15,51,45,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,19,42,54,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,21,40,56,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,22,61,35,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,24,58,38,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,26,59,37,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,26,51,45,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,27,46,50,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,28,49,47,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,30,53,43,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,30,54,42,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,32,45,51,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,33,46,50,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,33,54,42,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,36,50,46,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,37,51,45,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,38,54,42,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,39,55,41,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,39,64,32,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,39,46,50,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,42,42,54,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,42,48,48,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,43,45,51,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,44,54,42,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,44,52,44,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2020,45,50,46,0.181,0.48,0.330,0.021,0.304,0.020,0.634,0.041,0.158,0.010,0.119,0.008,0.277,0.018,153.938
2017,18,33,36,0.093,0.35,0.163,0.021,0.150,0.019,0.313,0.041,0.078,0.010,0.059,0.008,0.137,0.018,76.969
2017,18,39,30,0.093,0.35,0.163,0.021,0.150,0.019,0.313,0.041,0.078,0.010,0.059,0.008,0.137,0.018,76.969
2017,18,47,22,0.093,0.35,0.163,0.021,0.150,0.019,0.313,0.041,0.078,0.010,0.059,0.008,0.137,0.018,76.969
2017,22,37,32,0.093,0.35,0.163,0.021,0.150,0.019,0.313,0.041,0.078,0.010,0.059,0.008,0.137,0.018,76.969
2017,30,39,30,0.093,0.35,0.163,0.021,0.150,0.019,0.313,0.041,0.078,0.010,0.059,0.008,0.137,0.018,76.969
2010,1,59,36,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2010,2,58,37,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2010,2,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2010,6,59,36,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2010,6,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2010,6,65,30,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,8,59,36,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,8,43,52,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,8,59,36,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,8,51,44,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,8,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,9,57,38,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,12,58,37,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,13,53,42,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,13,62,33,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,13,41,54,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,13,41,54,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,14,51,44,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,14,54,41,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,16,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,16,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,16,48,47,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,16,70,25,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,16,46,49,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,17,47,48,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,17,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,17,62,33,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,17,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,17,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,19,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,19,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,19,57,38,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,25,56,39,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,26,53,42,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,32,51,44,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,34,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,34,54,41,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,34,51,44,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,34,52,43,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,1,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,1,60,35,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,1,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,2,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,3,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,4,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,4,49,46,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,5,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,5,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,6,51,44,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,6,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,6,47,48,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,7,56,39,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,8,56,39,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2019,8,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,1,44,51,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,2,49,46,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,4,52,43,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,5,54,41,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,7,47,48,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,7,47,48,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,8,58,37,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,8,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,8,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,9,63,32,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,10,25,70,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,10,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,13,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,13,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,13,53,42,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,14,58,37,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,16,49,46,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,16,60,35,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,17,47,48,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,21,48,47,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,22,48,47,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,23,42,53,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,23,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,24,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,25,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,25,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,25,60,35,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,25,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,25,35,60,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,26,53,42,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,26,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,26,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,27,52,43,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,27,49,46,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,27,41,54,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,28,53,42,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,29,55,40,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,31,52,43,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,32,53,42,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,32,57,38,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,33,57,38,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,33,51,44,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,34,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,36,54,41,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,37,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,37,64,31,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,40,60,35,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,43,59,36,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,43,56,39,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,45,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,45,53,42,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,46,54,41,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2020,46,45,50,0.177,0.48,0.322,0.021,0.297,0.019,0.620,0.040,0.155,0.010,0.116,0.008,0.271,0.018,153.938
2017,22,40,28,0.091,0.34,0.158,0.020,0.145,0.019,0.303,0.039,0.076,0.010,0.057,0.007,0.132,0.017,76.969
2017,1,35,33,0.091,0.34,0.158,0.020,0.145,0.019,0.303,0.039,0.076,0.010,0.057,0.007,0.132,0.017,76.969
2017,1,38,30,0.091,0.34,0.158,0.020,0.145,0.019,0.303,0.039,0.076,0.010,0.057,0.007,0.132,0.017,76.969
2017,2,31,37,0.091,0.34,0.158,0.020,0.145,0.019,0.303,0.039,0.076,0.010,0.057,0.007,0.132,0.017,76.969
2017,22,41,27,0.091,0.34,0.158,0.020,0.145,0.019,0.303,0.039,0.076,0.010,0.057,0.007,0.132,0.017,76.969
2010,2,54,40,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,8,56,38,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,12,55,39,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,23,54,40,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,23,55,39,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,26,55,39,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,26,56,38,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,32,55,39,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,34,54,40,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2017,34,55,39,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
2019,4,56,38,0.173,0.47,0.315,0.020,0.291,0.019,0.606,0.039,0.151,0.010,0.113,0.007,0.265,0.017,153.938
